,a,b,c,d,e,f,g,h,i,j,k,l,m
0,1377.766000430794,-30.701396049530185,0.09331367185194721,-0.18335867138519732,1111.858158115664,71.20084704797155,163.57980653180164,-13.07177352537244,314.48141827813816,-226.4355975083727,29.060019090286794,3.361772466063812,510.2736767029783
1,-635.9899191091387,-1242.8821096871004,313.517220849975,-92.17544794514578,1661.2948951631142,-7.864321895302149,73.62055534018403,14.834245086488274,2153.427480112504,1251.4391777902206,371.49996154010915,27.41772150269423,199.2681712674294
2,336.23794372965915,-670.3671886610312,0.18985422689402082,-29.960734966524335,2263.8723597386875,570.1107394666076,582.7627379401715,-14.98865020642721,0.06082676676480478,-567.6539535635201,-21.36381694587657,60.50566259427266,104.107362105813
3,248.9307394525896,-43.259283188918495,-409.15335769943187,-53.78659990152091,909.4504951758684,6.625223060566098,72.15323483265232,-81.26419823288418,1366.1692369158302,-64.34783329505913,259.1278661265388,17.619653724327392,85.73220860332631
4,2262.7054339753363,-573.0122071299688,-11.615853591121125,7.476320042957926,1438.6467666194696,19.9539396609763,8.675732156402084,99.72029052658077,31.327500841375304,183.64588184153735,-11.33045809995873,-25.669676244232836,127.82730938702512
5,460.094857624332,-94.24542408586574,0.12128472329532636,-29.028540792020664,1785.584196944688,-70.97830852901522,-7.358870662038015,35.867664582314305,10.496896986796262,-2.1915879651007018,-410.1671850340242,9.911532393241757,388.590514632848
6,1208.168397976469,21.340032908091807,0.24155239664696224,1.756849564339643,562.6666132645139,-25.89183254389081,459.0614375682306,0.02130743048465268,734.7366063237575,11.744283097479833,-0.6538953933996482,186.018239940041,-75.30000090365871
7,953.1389297966575,17.435778444566388,122.27501800439254,29.664582309446644,1511.0239849790448,60.68748135366807,-39.83230955764017,19.936888489002392,724.0831511485383,783.0564058980184,45.199636322169255,101.58489310148114,2174.0718375127253
8,-514.5470917802717,-121.83443648186538,27.135121841961016,47.919528498534596,540.8409063697841,157.0471383904235,61.122379845448044,152.61038295790797,2191.689510352608,-68.75305359741283,405.41837115068887,49.51549485438474,354.72488015201907
9,-1604.7733821940292,-468.6793069480475,-39.57491174230876,28.17382957801703,1488.1316336685088,-28.449743293642754,-134.38588003371706,29.545533031372894,9.601983737566371,-280.2088428228205,399.2902662577494,83.67272290572342,73.81522890854274
10,-2070.270200788336,-0.967501912034163,-2.7019118385997984,-27.434018382452606,2646.097683941894,-135.03225840430218,436.3987135389498,138.71084906985732,9.88856427377921,783.4590156237027,314.9059022896285,-382.6835148584396,-10.076278490886637
11,655.8923285846205,-428.57118028646624,-21.560151900988185,-11.52922063509285,1370.0056611387881,-567.2112259241619,202.0239036506527,20.675873307792692,0.5395023603386718,-7.725377672312194,91.56791037882064,6.349475791709057,786.5721346227017
12,-1174.1619987867398,-126.4724740320993,-0.2575927417437295,-14.054536856907461,2919.8088216714345,23.883140658522326,-522.8174192856007,394.01641338136795,0.15889532562845582,387.55987425335167,64.45933571744267,-0.43021662078152767,90.58191983927479
13,1050.3534416897394,-44.51890504197611,-21.378666072801103,12.967209213794279,2336.81969421883,8.380136895119758,52.03293487179613,57.20646223524018,1776.0278477606926,938.3309222693185,9.911133213923343,-126.7849764300605,1732.5387576630515
14,1418.6272548972618,-48.69140918257946,-9.175893796477327,23.21436382334838,3260.6064206924193,-105.17499070832667,227.31236375647953,115.16825153825047,300.49118678559523,514.8022904461267,275.11944295728836,348.75630508952,225.69361630454983
15,-1291.1857304415169,42.71506577435407,-39.42122866766834,-104.45328748176436,1906.76533683175,7.616740406656715,4.61101930234457,609.2072086028533,445.1108655602363,-824.7501522411559,446.32102548163664,26.868619185626706,34.37820276829277
